date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,6,7,9,13,24,51,123,183,265
2026-10-18,7,8,10,16,31,74,193,308,411
2026-10-25,7,9,11,19,37,99,287,428,583
2026-11-01,8,9,12,20,42,128,347,526,737
2026-11-08,8,10,13,21,48,152,390,582,774
2026-11-15,8,10,13,23,53,173,398,585,730
2026-11-22,9,11,14,24,58,196,398,522,665
2026-11-29,9,11,14,26,62,201,381,487,567
2026-12-06,9,11,15,27,66,204,359,432,508
2026-12-13,9,11,15,28,69,193,329,396,461
2026-12-20,10,12,15,29,72,185,303,364,415
2026-12-27,10,12,16,29,75,180,278,335,382
2027-01-03,10,12,16,30,77,169,262,303,357
2027-01-10,10,12,16,31,78,159,242,288,340
2027-01-17,10,12,17,31,78,152,223,275,321
2027-01-24,10,13,17,32,77,144,210,257,301
2027-01-31,10,13,17,33,76,138,198,246,286
2027-02-07,10,13,18,33,73,130,187,231,270
2027-02-14,11,13,18,34,72,122,178,217,257
2027-02-21,11,13,18,34,70,116,168,208,238
2027-02-28,11,14,18,34,69,110,159,195,226
2027-03-07,11,14,18,34,67,107,150,187,213
2027-03-14,11,14,19,33,65,101,144,179,202
2027-03-21,11,14,19,33,63,97,139,168,191
2027-03-28,11,14,19,32,60,93,132,160,181
2027-04-04,11,14,19,32,59,89,129,154,173
2027-04-11,11,14,19,31,57,87,123,146,166
2027-04-18,11,14,19,31,56,83,118,140,159
2027-04-25,12,15,20,31,55,82,114,136,155
2027-05-02,12,15,20,32,55,82,115,136,154
2027-05-09,13,16,21,33,57,84,118,139,163
2027-05-16,14,17,23,35,59,86,121,146,165
2027-05-23,14,18,23,36,59,89,124,142,162
2027-05-30,15,18,23,36,58,88,121,135,163
2027-06-06,15,19,24,35,57,85,116,137,154
2027-06-13,15,19,24,37,57,86,116,139,156
2027-06-20,15,19,24,37,57,85,117,139,150
2027-06-27,15,19,24,36,54,82,114,134,149
2027-07-04,15,19,24,35,53,82,109,131,149
2027-07-11,15,19,24,36,54,81,110,130,150
2027-07-18,15,19,25,37,54,80,113,130,149
2027-07-25,15,19,24,35,53,77,105,126,145
2027-08-01,14,18,23,33,49,73,97,116,136
2027-08-08,13,16,20,28,44,64,89,105,121
2027-08-15,12,13,17,25,38,55,76,90,106
2027-08-22,11,12,15,22,33,49,68,78,91
2027-08-29,9,12,15,21,31,45,61,71,83
2027-09-05,9,11,14,20,29,42,57,69,78
2027-09-12,9,10,13,19,28,41,55,66,76
2027-09-19,9,10,13,19,28,40,53,64,74
2027-09-26,8,10,13,18,27,39,52,61,72
2027-10-03,8,10,13,18,27,39,52,61,72
