date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,9,11,14,22,37,68,119,163,215
2026-10-18,9,11,14,23,42,83,149,211,297
2026-10-25,10,12,16,25,47,99,191,286,419
2026-11-01,10,12,16,26,50,114,231,319,496
2026-11-08,10,12,16,27,53,120,249,339,495
2026-11-15,11,13,17,29,59,132,272,400,523
2026-11-22,12,15,18,31,65,150,306,437,573
2026-11-29,13,15,19,33,68,155,314,437,550
2026-12-06,12,15,19,33,69,155,298,421,534
2026-12-13,13,15,19,33,69,154,293,416,522
2026-12-20,13,16,20,34,70,159,288,432,517
2026-12-27,14,16,20,36,73,159,291,422,511
2027-01-03,13,16,20,37,73,157,281,392,491
2027-01-10,13,16,21,37,71,152,270,377,463
2027-01-17,13,16,22,37,71,151,250,356,434
2027-01-24,14,17,23,39,74,153,252,344,423
2027-01-31,15,18,23,41,75,156,250,339,414
2027-02-07,14,18,24,41,72,147,237,311,386
2027-02-14,14,18,23,40,70,140,223,300,369
2027-02-21,14,18,23,40,70,133,217,288,348
2027-02-28,14,18,23,39,68,128,206,269,325
2027-03-07,14,17,23,38,65,122,192,257,302
2027-03-14,13,16,21,34,60,107,174,230,267
2027-03-21,12,15,19,31,53,98,151,202,239
2027-03-28,10,13,17,27,47,83,130,171,198
2027-04-04,10,12,16,25,42,74,116,149,180
2027-04-11,10,12,16,25,41,71,113,144,171
2027-04-18,10,12,16,24,40,70,111,142,162
2027-04-25,10,11,16,24,39,69,106,135,157
2027-05-02,9,11,15,23,37,65,103,127,150
2027-05-09,10,11,15,23,37,64,101,124,145
2027-05-16,9,11,15,23,38,64,99,126,149
2027-05-23,10,12,16,24,40,67,101,130,154
2027-05-30,10,13,17,25,42,70,108,135,158
2027-06-06,11,14,18,27,44,72,113,142,163
2027-06-13,12,14,18,27,45,74,111,140,162
2027-06-20,12,14,18,28,45,75,110,141,162
2027-06-27,12,15,18,28,44,73,107,139,159
2027-07-04,12,14,18,27,43,72,104,133,160
2027-07-11,13,14,18,28,42,71,100,134,156
2027-07-18,13,14,18,27,42,70,99,130,155
2027-07-25,12,14,18,27,42,68,97,125,148
2027-08-01,12,14,17,25,40,66,92,119,139
2027-08-08,12,13,17,25,39,63,89,114,131
2027-08-15,12,13,17,25,39,62,87,115,132
2027-08-22,12,13,16,25,39,61,86,111,136
2027-08-29,11,13,16,24,37,59,82,106,130
2027-09-05,11,12,16,23,36,57,82,103,126
2027-09-12,10,12,15,22,35,55,81,100,119
2027-09-19,10,12,15,22,34,54,76,93,116
2027-09-26,10,12,14,21,34,52,75,93,110
2027-10-03,10,12,14,21,34,52,75,93,110
