date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,5,6,7,10,16,26,45,61,80
2026-10-18,5,6,7,10,18,34,63,90,118
2026-10-25,5,6,8,11,20,41,82,129,161
2026-11-01,5,7,8,12,23,49,105,173,220
2026-11-08,6,7,8,13,25,57,130,215,277
2026-11-15,6,7,9,14,27,66,155,249,324
2026-11-22,6,8,9,14,29,75,178,287,368
2026-11-29,6,8,9,15,31,83,203,300,407
2026-12-06,6,8,10,16,33,92,226,310,437
2026-12-13,6,8,10,16,35,100,234,316,462
2026-12-20,6,8,10,17,37,107,239,319,444
2026-12-27,7,8,11,17,39,113,234,332,434
2027-01-03,7,9,11,18,41,118,236,329,415
2027-01-10,7,9,11,18,42,120,236,332,414
2027-01-17,7,9,11,19,43,121,236,323,416
2027-01-24,7,9,12,19,44,121,227,308,389
2027-01-31,7,9,12,19,46,123,224,291,393
2027-02-07,7,10,12,20,48,122,217,282,381
2027-02-14,7,10,12,20,48,121,212,262,355
2027-02-21,7,10,13,21,50,118,208,250,340
2027-02-28,7,10,13,21,50,114,200,245,311
2027-03-07,7,10,13,22,51,110,192,233,290
2027-03-14,8,10,13,22,51,108,184,226,272
2027-03-21,8,10,14,22,51,104,177,222,258
2027-03-28,8,10,14,23,51,101,170,211,246
2027-04-04,8,10,14,23,51,98,165,203,240
2027-04-11,8,11,14,24,51,95,159,195,235
2027-04-18,8,11,14,24,50,93,152,193,229
2027-04-25,8,11,15,24,50,91,145,186,217
2027-05-02,8,11,15,24,49,88,141,176,211
2027-05-09,8,11,15,24,49,86,137,171,204
2027-05-16,8,11,15,24,48,84,131,167,199
2027-05-23,8,11,15,25,48,85,131,167,195
2027-05-30,10,12,17,27,52,89,138,179,203
2027-06-06,11,14,19,31,58,99,148,194,215
2027-06-13,12,15,21,34,62,104,154,200,229
2027-06-20,13,16,22,36,64,106,152,201,229
2027-06-27,14,18,23,36,64,105,153,200,235
2027-07-04,14,18,24,37,64,103,150,197,236
2027-07-11,14,18,24,36,62,98,147,190,224
2027-07-18,14,18,23,37,59,97,142,182,211
2027-07-25,14,18,23,36,59,94,135,174,201
2027-08-01,13,17,23,34,55,87,128,161,192
2027-08-08,13,16,21,32,51,79,116,144,174
2027-08-15,12,15,19,28,45,69,102,128,154
2027-08-22,11,13,17,26,40,63,91,109,131
2027-08-29,10,12,16,24,37,56,83,99,116
2027-09-05,9,12,15,23,36,55,78,93,111
2027-09-12,9,11,15,23,35,53,76,89,107
2027-09-19,9,11,15,22,34,51,74,87,104
2027-09-26,9,11,15,22,33,50,72,84,102
2027-10-03,9,11,15,22,33,50,72,84,102
