date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,22,26,36,57,119,287,544,786,1132
2026-10-18,23,27,38,64,154,484,1141,1707,2787
2026-10-25,25,29,41,72,193,709,1992,3071,4608
2026-11-01,25,30,43,77,219,945,2599,3827,5370
2026-11-08,26,31,44,79,239,1070,2788,4119,5097
2026-11-15,27,32,45,85,270,1180,2870,3912,4972
2026-11-22,28,33,49,90,302,1251,2777,3707,4681
2026-11-29,29,35,52,99,340,1243,2691,3629,4462
2026-12-06,29,36,52,103,361,1214,2443,3077,4147
2026-12-13,28,36,52,105,362,1089,2121,2788,3359
2026-12-20,29,36,53,106,379,1006,1943,2573,3004
2026-12-27,29,35,53,108,383,956,1767,2269,2767
2027-01-03,29,35,54,108,360,888,1565,2012,2456
2027-01-10,30,36,54,110,351,820,1441,1836,2228
2027-01-17,31,38,58,113,352,797,1316,1727,2014
2027-01-24,33,40,59,121,357,772,1229,1617,1868
2027-01-31,34,42,60,129,346,734,1153,1504,1775
2027-02-07,33,43,61,129,325,679,1076,1475,1660
2027-02-14,33,42,63,133,316,654,1021,1287,1556
2027-02-21,34,44,66,132,309,627,983,1245,1480
2027-02-28,34,45,67,133,291,587,913,1166,1388
2027-03-07,33,42,63,125,277,538,814,1063,1219
2027-03-14,32,41,60,123,264,491,754,946,1129
2027-03-21,32,41,61,122,255,468,712,888,1051
2027-03-28,32,42,60,119,248,442,683,838,1032
2027-04-04,32,43,60,115,234,408,619,788,964
2027-04-11,32,42,60,112,225,379,585,752,912
2027-04-18,33,40,59,111,216,367,560,710,889
2027-04-25,33,39,59,110,210,355,560,693,858
2027-05-02,33,40,59,108,203,339,531,678,843
2027-05-09,32,40,58,104,196,323,504,632,812
2027-05-16,32,39,56,102,189,309,488,616,749
2027-05-23,33,39,56,100,188,300,468,608,734
2027-05-30,33,40,56,100,184,294,463,593,723
2027-06-06,32,41,56,98,180,285,444,572,711
2027-06-13,34,40,56,95,172,274,432,553,660
2027-06-20,32,40,56,94,169,265,419,538,658
2027-06-27,32,41,55,94,166,264,408,533,642
2027-07-04,31,41,55,93,163,257,399,521,609
2027-07-11,32,39,53,91,158,246,379,513,605
2027-07-18,31,38,51,88,151,233,368,483,577
2027-07-25,31,37,50,86,147,227,364,481,556
2027-08-01,30,38,50,84,143,224,357,471,536
2027-08-08,31,38,50,84,140,220,358,450,534
2027-08-15,31,38,50,85,142,220,354,455,525
2027-08-22,32,40,53,88,149,232,360,476,552
2027-08-29,35,42,56,94,156,246,377,485,595
2027-09-05,37,44,58,97,159,253,390,500,615
2027-09-12,38,46,60,97,162,255,394,496,616
2027-09-19,37,46,63,98,160,253,397,495,584
2027-09-26,37,46,63,97,156,250,392,479,578
2027-10-03,37,46,63,97,156,250,392,479,578
