date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,6,7,10,16,32,80,171,309,474
2026-10-18,6,8,11,19,45,133,340,659,1055
2026-10-25,7,9,13,22,56,193,607,1276,2242
2026-11-01,7,10,14,24,68,262,975,2054,2973
2026-11-08,8,10,14,25,76,330,1308,2330,3589
2026-11-15,8,11,14,28,84,406,1481,2771,4264
2026-11-22,9,11,15,30,98,473,1736,2807,3875
2026-11-29,9,12,16,31,108,589,1657,2465,3438
2026-12-06,9,12,16,34,113,621,1666,2246,3055
2026-12-13,9,12,16,36,125,658,1551,2086,2690
2026-12-20,10,12,17,37,136,654,1423,1978,2559
2026-12-27,10,14,17,38,147,653,1347,1878,2419
2027-01-03,10,14,18,40,148,617,1225,1769,2168
2027-01-10,10,14,18,40,156,583,1176,1666,2058
2027-01-17,10,14,18,42,162,583,1076,1512,1912
2027-01-24,11,14,18,42,175,553,1046,1446,1711
2027-01-31,11,15,20,43,180,522,977,1418,1657
2027-02-07,11,15,21,45,173,518,913,1299,1567
2027-02-14,11,15,21,46,176,491,873,1176,1456
2027-02-21,12,16,21,48,173,478,876,1180,1465
2027-02-28,12,16,21,50,172,453,866,1083,1311
2027-03-07,12,15,22,48,171,405,768,1067,1217
2027-03-14,12,15,20,45,158,378,689,919,1095
2027-03-21,12,15,20,46,147,358,629,825,988
2027-03-28,12,15,20,47,146,335,598,776,910
2027-04-04,11,15,20,46,143,318,551,698,853
2027-04-11,11,15,20,45,141,308,530,669,796
2027-04-18,11,15,20,44,134,289,497,616,766
2027-04-25,11,15,19,44,125,270,465,568,711
2027-05-02,11,14,20,43,121,262,445,542,661
2027-05-09,11,14,20,43,117,250,425,529,630
2027-05-16,11,14,20,43,118,247,407,517,601
2027-05-23,11,14,20,42,115,238,394,502,575
2027-05-30,11,15,20,42,112,231,383,477,553
2027-06-06,11,15,20,42,108,226,379,467,545
2027-06-13,12,15,20,42,107,220,370,454,528
2027-06-20,12,15,20,43,106,215,357,439,518
2027-06-27,12,15,21,43,105,210,348,435,505
2027-07-04,12,15,21,42,104,208,340,420,495
2027-07-11,12,16,21,42,102,203,335,409,475
2027-07-18,12,16,21,42,102,198,324,395,461
2027-07-25,12,16,21,41,101,194,311,388,437
2027-08-01,12,16,21,42,100,189,301,378,431
2027-08-08,12,16,21,42,98,184,295,365,439
2027-08-15,12,16,21,42,95,181,283,360,419
2027-08-22,12,16,22,43,97,182,304,367,455
2027-08-29,14,18,24,45,106,203,325,397,478
2027-09-05,15,19,25,47,114,223,339,426,498
2027-09-12,15,19,27,48,113,224,340,423,490
2027-09-19,14,18,27,49,109,205,326,407,513
2027-09-26,13,18,24,48,102,190,298,385,462
2027-10-03,13,18,24,48,102,190,298,385,462
