date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,0,0,0,22,42,82,145,208,262
2026-10-18,0,0,0,25,51,113,215,304,365
2026-10-25,0,0,0,29,62,147,322,412,546
2026-11-01,0,0,0,33,73,185,437,574,727
2026-11-08,0,0,0,37,82,232,521,730,973
2026-11-15,0,0,0,41,94,279,676,938,1230
2026-11-22,0,0,0,45,106,317,796,1136,1400
2026-11-29,0,0,0,48,113,378,873,1264,1553
2026-12-06,0,0,0,49,121,395,925,1340,1621
2026-12-13,0,0,0,50,125,403,926,1346,1606
2026-12-20,0,0,0,51,133,439,973,1341,1672
2026-12-27,0,0,0,53,142,444,979,1342,1719
2027-01-03,0,0,0,55,144,458,938,1310,1624
2027-01-10,0,0,0,58,153,441,941,1345,1674
2027-01-17,0,0,0,56,156,439,894,1172,1508
2027-01-24,0,0,0,57,157,426,796,1127,1357
2027-01-31,0,0,0,54,156,390,748,1027,1316
2027-02-07,0,0,0,54,153,367,684,985,1135
2027-02-14,0,0,0,54,149,354,644,883,1017
2027-02-21,0,0,0,56,148,360,641,817,998
2027-02-28,0,0,0,55,146,348,588,774,949
2027-03-07,0,0,0,57,143,335,565,708,882
2027-03-14,0,0,0,56,142,324,548,668,856
2027-03-21,0,0,0,57,144,327,516,652,803
2027-03-28,0,0,0,55,143,303,483,621,769
2027-04-04,0,0,0,55,134,286,456,576,714
2027-04-11,0,0,0,57,134,281,443,547,638
2027-04-18,0,0,0,58,132,267,435,511,610
2027-04-25,0,0,0,57,129,263,403,487,560
2027-05-02,0,0,0,55,123,252,383,467,522
2027-05-09,0,0,0,55,124,250,368,463,514
2027-05-16,0,0,0,56,125,245,362,451,510
2027-05-23,0,0,0,57,124,244,364,444,510
2027-05-30,0,0,0,57,124,241,359,424,499
2027-06-06,0,0,0,58,121,241,353,420,501
2027-06-13,0,0,0,59,121,234,343,419,480
2027-06-20,0,0,0,60,123,228,329,409,461
2027-06-27,0,0,0,61,124,230,332,406,469
2027-07-04,0,0,0,63,126,234,337,410,483
2027-07-11,0,0,0,63,124,229,331,396,465
2027-07-18,0,0,0,63,120,223,317,387,437
2027-07-25,0,0,0,62,122,219,315,381,433
2027-08-01,0,0,0,65,123,222,326,391,439
2027-08-08,0,0,0,68,129,230,334,406,470
2027-08-15,0,0,0,71,132,236,336,409,468
2027-08-22,0,0,0,73,134,241,335,414,474
2027-08-29,0,0,0,73,134,233,335,411,464
2027-09-05,0,0,0,69,125,223,315,391,459
2027-09-12,0,0,0,64,120,209,302,359,417
2027-09-19,0,0,0,59,116,194,280,334,380
2027-09-26,0,0,0,55,105,172,257,310,358
2027-10-03,0,0,0,55,105,172,257,310,358
