date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,5,7,8,11,18,29,46,60,73
2026-10-18,6,7,9,13,23,42,73,100,126
2026-10-25,7,8,10,15,28,56,100,146,191
2026-11-01,7,8,10,16,31,67,128,188,243
2026-11-08,6,8,10,16,31,70,138,190,242
2026-11-15,5,6,8,13,28,62,121,173,212
2026-11-22,5,6,7,12,25,56,103,149,181
2026-11-29,4,6,7,12,24,54,97,140,170
2026-12-06,5,6,7,12,24,56,99,136,176
2026-12-13,5,6,7,12,25,57,95,134,167
2026-12-20,5,6,7,12,25,57,93,126,154
2026-12-27,5,6,7,12,26,56,91,121,150
2027-01-03,5,6,7,12,26,56,91,119,146
2027-01-10,5,6,7,12,26,55,89,117,142
2027-01-17,5,6,7,12,26,55,88,112,138
2027-01-24,5,6,7,12,27,54,84,107,132
2027-01-31,5,6,8,12,27,54,83,106,127
2027-02-07,5,6,8,12,27,53,80,103,121
2027-02-14,5,6,8,13,26,52,80,100,116
2027-02-21,5,6,8,13,26,51,78,96,110
2027-02-28,5,6,8,13,26,51,76,92,108
2027-03-07,5,6,8,13,27,50,79,91,107
2027-03-14,5,7,8,15,29,54,82,99,118
2027-03-21,6,7,9,16,31,59,86,106,127
2027-03-28,7,8,11,17,35,62,94,114,132
2027-04-04,7,9,12,19,37,66,97,116,137
2027-04-11,8,9,12,19,36,63,94,113,134
2027-04-18,8,9,11,19,35,60,88,108,121
2027-04-25,7,9,11,18,33,56,82,100,113
2027-05-02,7,9,11,18,31,53,78,95,108
2027-05-09,7,9,11,17,30,51,75,90,102
2027-05-16,7,9,11,17,28,48,71,84,95
2027-05-23,7,8,10,16,26,45,65,78,88
2027-05-30,6,7,9,15,24,41,59,71,78
2027-06-06,6,7,9,14,23,38,54,66,71
2027-06-13,6,7,8,13,22,35,52,62,68
2027-06-20,5,7,8,13,21,34,49,59,64
2027-06-27,5,6,8,13,20,33,46,56,62
2027-07-04,5,6,8,12,19,31,44,55,60
2027-07-11,5,6,8,12,19,30,43,52,59
2027-07-18,5,6,8,12,18,29,42,51,56
2027-07-25,5,6,8,12,18,29,41,50,56
2027-08-01,5,6,8,12,18,29,41,50,56
2027-08-08,5,7,8,12,18,29,41,50,57
2027-08-15,6,7,8,12,19,29,43,51,59
2027-08-22,6,7,9,13,20,31,46,54,62
2027-08-29,7,8,10,14,22,34,49,58,65
2027-09-05,7,8,10,15,22,34,49,59,69
2027-09-12,7,8,11,15,23,35,50,60,72
2027-09-19,7,9,11,16,23,36,51,62,72
2027-09-26,8,9,11,16,23,35,51,61,69
2027-10-03,8,9,11,16,23,35,51,61,69
