date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,5,7,9,12,20,32,51,64,83
2026-10-18,5,7,9,13,21,36,57,75,95
2026-10-25,6,7,9,14,22,40,61,81,112
2026-11-01,6,7,9,14,24,41,63,89,113
2026-11-08,6,7,9,14,23,40,69,86,119
2026-11-15,6,7,9,14,24,44,73,99,131
2026-11-22,6,8,10,16,27,49,83,111,144
2026-11-29,7,8,10,16,28,52,87,119,165
2026-12-06,6,8,10,17,29,55,93,128,167
2026-12-13,6,8,10,17,29,57,97,139,178
2026-12-20,7,8,11,17,30,59,103,145,188
2026-12-27,7,9,11,17,31,60,106,150,190
2027-01-03,7,9,11,17,32,62,112,158,199
2027-01-10,7,9,11,17,32,63,117,168,226
2027-01-17,7,8,11,18,32,65,117,174,214
2027-01-24,7,8,11,17,33,67,120,167,221
2027-01-31,7,8,11,18,33,68,120,177,220
2027-02-07,6,8,11,17,32,68,126,181,239
2027-02-14,6,8,11,17,32,67,121,180,217
2027-02-21,6,8,10,16,32,66,124,182,224
2027-02-28,6,8,10,16,31,64,122,179,231
2027-03-07,6,7,10,15,29,63,118,164,219
2027-03-14,6,7,9,15,28,62,115,164,213
2027-03-21,6,7,9,14,28,63,118,169,214
2027-03-28,6,7,9,14,28,62,121,175,223
2027-04-04,5,7,9,15,29,63,121,175,221
2027-04-11,5,7,9,14,29,62,123,175,222
2027-04-18,5,7,9,14,28,60,117,169,208
2027-04-25,5,6,8,13,27,58,113,166,207
2027-05-02,5,6,8,13,26,57,113,166,205
2027-05-09,5,6,8,13,26,57,114,166,205
2027-05-16,5,6,8,13,26,58,114,166,209
2027-05-23,5,6,8,13,27,58,116,169,211
2027-05-30,5,6,8,13,27,60,119,175,216
2027-06-06,5,6,8,13,28,62,122,179,215
2027-06-13,5,6,8,13,28,62,121,180,222
2027-06-20,5,6,9,14,28,62,122,182,224
2027-06-27,5,7,8,14,28,63,126,184,223
2027-07-04,5,7,9,13,28,63,127,184,224
2027-07-11,5,6,8,13,27,62,122,181,222
2027-07-18,5,6,8,13,27,59,121,175,221
2027-07-25,5,6,8,13,27,61,123,179,230
2027-08-01,5,7,9,14,29,67,134,200,255
2027-08-08,6,7,9,16,32,77,151,227,281
2027-08-15,6,8,10,18,36,84,172,258,314
2027-08-22,7,9,11,19,39,91,186,274,355
2027-08-29,7,9,13,20,41,100,205,284,372
2027-09-05,7,9,13,21,44,101,207,309,406
2027-09-12,7,9,13,21,43,103,204,303,407
2027-09-19,7,8,12,20,44,103,208,318,403
2027-09-26,7,9,12,20,44,102,201,303,383
2027-10-03,7,9,12,20,44,102,201,303,383
