date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,3,5,6,11,20,36,60,83,113
2026-10-18,4,5,7,11,23,44,87,124,167
2026-10-25,4,5,7,12,25,51,104,154,224
2026-11-01,4,5,7,13,27,58,116,173,252
2026-11-08,4,5,7,13,28,63,128,195,283
2026-11-15,4,5,7,13,30,67,142,211,303
2026-11-22,4,5,8,14,31,74,143,233,329
2026-11-29,4,5,8,14,32,76,155,238,354
2026-12-06,4,6,8,15,35,80,162,255,367
2026-12-13,4,6,9,16,36,84,166,262,339
2026-12-20,4,6,9,15,37,87,165,257,348
2026-12-27,4,6,8,16,37,87,170,267,384
2027-01-03,4,6,9,16,36,89,165,264,347
2027-01-10,4,6,9,17,39,92,175,265,319
2027-01-17,5,6,10,17,40,91,171,256,309
2027-01-24,4,6,9,18,40,95,172,247,320
2027-01-31,5,6,9,18,40,96,176,267,316
2027-02-07,5,7,9,18,41,96,178,255,306
2027-02-14,5,7,10,18,42,94,164,249,295
2027-02-21,5,7,10,18,45,96,161,235,282
2027-02-28,6,7,10,18,42,96,165,226,270
2027-03-07,5,7,10,18,42,94,161,225,284
2027-03-14,5,7,10,18,44,91,161,214,251
2027-03-21,5,7,10,18,43,91,159,205,253
2027-03-28,5,7,10,19,43,92,151,198,246
2027-04-04,5,7,10,18,41,89,148,193,236
2027-04-11,5,7,10,18,42,86,143,190,232
2027-04-18,5,7,10,18,43,86,145,179,218
2027-04-25,5,7,10,19,41,85,140,181,221
2027-05-02,5,7,10,19,42,84,135,172,215
2027-05-09,5,7,10,18,40,82,132,170,203
2027-05-16,5,7,10,18,40,79,130,160,187
2027-05-23,5,7,9,18,38,75,123,154,182
2027-05-30,5,7,9,17,37,71,114,142,166
2027-06-06,5,6,9,16,36,68,108,133,154
2027-06-13,5,6,9,16,35,66,106,130,149
2027-06-20,5,6,9,16,35,66,104,127,145
2027-06-27,5,6,9,16,35,65,103,125,145
2027-07-04,5,6,9,16,35,65,102,123,143
2027-07-11,5,6,9,16,35,64,100,121,140
2027-07-18,5,6,8,16,34,64,98,118,137
2027-07-25,5,6,9,17,34,63,97,118,138
2027-08-01,5,6,9,17,35,64,99,120,137
2027-08-08,5,7,10,18,38,68,102,125,143
2027-08-15,6,7,10,19,40,72,108,135,159
2027-08-22,6,8,11,20,40,73,117,145,160
2027-08-29,5,8,11,20,40,74,119,144,162
2027-09-05,6,8,11,20,41,74,115,141,163
2027-09-12,6,8,11,20,41,73,110,136,157
2027-09-19,6,8,11,20,41,72,109,133,152
2027-09-26,5,8,11,20,39,71,108,136,153
2027-10-03,5,8,11,20,39,71,108,136,153
