date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,9,11,14,19,30,50,85,105,132
2026-10-18,10,11,14,21,35,65,122,166,208
2026-10-25,11,12,15,23,40,83,168,233,301
2026-11-01,11,13,16,25,45,99,223,308,417
2026-11-08,12,13,17,26,51,115,279,400,541
2026-11-15,12,14,18,28,56,130,339,504,682
2026-11-22,13,15,19,30,61,155,403,593,810
2026-11-29,13,16,20,32,68,181,466,683,908
2026-12-06,14,16,21,34,75,199,530,745,1013
2026-12-13,14,17,22,35,83,222,566,818,1063
2026-12-20,14,17,23,37,87,239,588,851,1133
2026-12-27,15,18,24,38,91,256,612,873,1134
2027-01-03,15,18,25,40,96,275,591,876,1070
2027-01-10,16,19,26,42,103,294,597,847,1033
2027-01-17,16,20,27,44,108,304,593,827,1008
2027-01-24,16,21,27,45,114,314,592,804,994
2027-01-31,16,21,28,46,120,308,567,770,910
2027-02-07,17,22,29,48,125,309,550,741,873
2027-02-14,18,23,30,50,131,319,523,706,820
2027-02-21,18,24,32,53,141,322,523,664,759
2027-02-28,19,25,35,60,159,349,540,681,794
2027-03-07,22,27,39,69,171,361,569,695,870
2027-03-14,23,30,41,72,182,360,568,709,830
2027-03-21,23,28,42,73,185,348,543,674,809
2027-03-28,22,31,42,76,178,343,524,670,773
2027-04-04,25,32,44,75,181,322,493,624,730
2027-04-11,25,33,44,76,173,313,455,566,653
2027-04-18,24,32,42,76,164,285,433,506,586
2027-04-25,23,30,42,70,150,255,374,472,528
2027-05-02,22,28,39,66,138,231,339,412,477
2027-05-09,22,27,38,65,133,216,323,381,455
2027-05-16,21,28,39,65,129,209,311,367,443
2027-05-23,22,28,39,66,125,204,303,357,424
2027-05-30,22,29,39,66,123,200,291,356,409
2027-06-06,22,29,40,66,120,195,286,348,389
2027-06-13,22,29,41,66,119,190,281,342,380
2027-06-20,23,30,41,66,115,186,273,334,365
2027-06-27,23,30,42,67,113,184,267,329,356
2027-07-04,23,30,42,66,111,179,261,319,350
2027-07-11,23,31,42,65,109,176,259,310,345
2027-07-18,23,31,41,64,108,171,253,300,334
2027-07-25,23,31,41,64,105,166,245,295,336
2027-08-01,26,33,44,67,108,179,256,302,360
2027-08-08,31,38,48,74,117,192,277,351,402
2027-08-15,32,41,51,80,123,200,304,367,443
2027-08-22,32,38,51,80,125,204,297,368,422
2027-08-29,30,38,50,77,123,199,299,359,422
2027-09-05,30,37,48,74,120,188,289,344,387
2027-09-12,30,37,46,70,112,178,272,335,372
2027-09-19,29,36,43,65,103,165,252,311,345
2027-09-26,26,33,41,62,97,154,223,264,308
2027-10-03,26,33,41,62,97,154,223,264,308
