date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,3,4,5,9,20,46,114,182,257
2026-10-18,4,5,6,11,29,98,386,795,1138
2026-10-25,4,5,7,13,39,179,731,1274,1777
2026-11-01,4,6,8,15,50,261,791,1117,1500
2026-11-08,5,7,9,18,64,292,666,964,1273
2026-11-15,6,7,10,21,82,300,587,800,960
2026-11-22,6,7,10,22,88,260,502,691,874
2026-11-29,5,7,11,23,85,228,410,577,770
2026-12-06,6,8,11,25,83,208,367,534,666
2026-12-13,6,8,12,24,78,183,334,447,586
2026-12-20,6,8,12,25,74,156,279,389,540
2026-12-27,6,8,11,25,68,141,241,332,461
2027-01-03,6,8,11,24,65,130,225,296,398
2027-01-10,6,8,12,25,62,124,201,277,377
2027-01-17,6,8,12,24,56,112,179,248,311
2027-01-24,6,8,11,23,50,102,159,213,270
2027-01-31,6,7,11,22,47,93,146,204,251
2027-02-07,6,8,11,22,49,89,145,184,227
2027-02-14,7,8,11,22,47,85,135,181,215
2027-02-21,6,9,12,22,45,85,132,176,209
2027-02-28,6,9,12,22,43,82,130,160,193
2027-03-07,6,9,12,20,40,77,116,143,181
2027-03-14,6,8,11,19,37,66,103,126,150
2027-03-21,6,8,10,17,33,59,91,109,134
2027-03-28,6,8,10,16,31,54,81,107,132
2027-04-04,5,7,9,15,27,49,72,92,114
2027-04-11,5,6,8,13,25,44,63,81,97
2027-04-18,5,6,8,13,23,42,58,74,88
2027-04-25,5,6,8,12,22,40,56,71,86
2027-05-02,5,6,8,12,22,38,54,68,84
2027-05-09,5,6,8,12,21,37,53,66,81
2027-05-16,4,6,8,12,21,36,51,64,79
2027-05-23,4,6,8,12,20,35,51,63,76
2027-05-30,4,5,7,12,20,35,50,61,74
2027-06-06,4,5,7,11,19,34,49,59,73
2027-06-13,4,5,7,11,19,33,48,58,71
2027-06-20,4,5,7,11,19,32,47,57,70
2027-06-27,4,5,7,11,18,31,45,55,68
2027-07-04,4,5,7,10,18,30,44,54,66
2027-07-11,4,5,7,10,17,29,43,52,65
2027-07-18,4,5,7,10,17,29,42,52,63
2027-07-25,4,5,7,10,17,28,41,51,61
2027-08-01,4,5,6,10,17,28,40,50,61
2027-08-08,4,5,6,10,16,27,39,49,59
2027-08-15,4,5,6,9,16,27,38,48,58
2027-08-22,4,5,6,9,16,26,38,47,56
2027-08-29,4,4,6,9,15,25,37,46,55
2027-09-05,4,4,6,9,15,25,36,45,54
2027-09-12,4,4,6,9,15,25,36,45,53
2027-09-19,4,4,6,9,15,24,35,45,52
2027-09-26,3,4,6,9,14,24,34,44,51
2027-10-03,3,4,6,9,14,24,34,44,51
