date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,6,7,10,15,26,57,131,195,284
2026-10-18,6,8,10,16,32,80,201,300,527
2026-10-25,7,8,11,19,38,101,287,518,795
2026-11-01,8,9,12,20,44,126,387,694,1016
2026-11-08,7,9,12,20,49,148,450,820,1322
2026-11-15,7,9,12,21,52,170,559,997,1641
2026-11-22,8,9,13,22,54,196,633,1165,1957
2026-11-29,8,9,13,23,61,216,758,1386,2284
2026-12-06,8,10,14,24,69,258,905,1641,2467
2026-12-13,8,10,15,25,72,280,1077,1934,2672
2026-12-20,9,11,15,26,73,310,1100,2067,2812
2026-12-27,9,10,14,25,76,343,1124,1997,2880
2027-01-03,8,10,14,25,78,355,1138,1862,2687
2027-01-10,8,11,16,28,87,380,1209,2065,2861
2027-01-17,8,12,16,30,91,406,1269,2174,3124
2027-01-24,9,12,17,32,99,435,1358,2121,3236
2027-01-31,11,13,17,32,105,466,1408,2107,3325
2027-02-07,10,13,17,32,108,512,1462,2098,3191
2027-02-14,10,13,17,33,114,521,1337,2064,2896
2027-02-21,9,13,18,34,115,548,1310,2038,2773
2027-02-28,10,13,17,34,117,536,1357,1931,2573
2027-03-07,10,13,18,33,119,522,1314,1897,2397
2027-03-14,10,13,18,33,119,536,1230,1744,2236
2027-03-21,10,13,17,32,119,516,1174,1622,2025
2027-03-28,9,12,16,31,112,484,1102,1453,1783
2027-04-04,9,12,15,29,107,463,1018,1341,1605
2027-04-11,9,11,14,28,105,450,958,1238,1519
2027-04-18,9,11,15,29,109,448,943,1221,1427
2027-04-25,9,11,15,29,111,456,943,1201,1410
2027-05-02,9,12,15,30,112,461,936,1153,1373
2027-05-09,9,12,15,30,112,457,903,1128,1319
2027-05-16,9,12,15,30,114,442,881,1089,1297
2027-05-23,9,12,15,31,116,435,860,1052,1290
2027-05-30,9,12,16,31,120,445,865,1053,1286
2027-06-06,9,12,16,33,124,446,860,1070,1327
2027-06-13,10,13,17,34,130,454,867,1117,1341
2027-06-20,10,13,18,35,138,467,872,1116,1309
2027-06-27,10,14,19,37,142,488,904,1148,1326
2027-07-04,10,14,19,39,146,493,884,1164,1306
2027-07-11,11,14,20,39,151,507,878,1143,1370
2027-07-18,12,15,21,40,157,506,915,1137,1441
2027-07-25,11,15,21,42,163,494,887,1168,1434
2027-08-01,12,15,22,44,167,514,885,1202,1400
2027-08-08,12,16,22,43,174,498,896,1154,1558
2027-08-15,12,14,21,45,180,512,873,1181,1531
2027-08-22,12,15,22,48,184,516,871,1141,1541
2027-08-29,13,17,24,47,177,494,867,1111,1394
2027-09-05,13,17,24,47,174,487,831,1123,1333
2027-09-12,13,18,24,48,179,479,864,1069,1280
2027-09-19,13,18,25,50,185,487,815,1052,1260
2027-09-26,13,18,25,49,182,469,798,1020,1210
2027-10-03,13,18,25,49,182,469,798,1020,1210
