date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,6,8,10,14,23,43,67,87,101
2026-10-18,7,8,10,15,26,55,94,118,152
2026-10-25,7,9,11,17,30,68,124,170,224
2026-11-01,8,9,11,17,34,81,157,223,291
2026-11-08,9,10,12,19,37,94,191,271,356
2026-11-15,9,11,14,21,43,114,242,335,440
2026-11-22,10,12,15,24,50,139,304,426,554
2026-11-29,10,13,16,26,55,158,342,481,638
2026-12-06,10,13,16,26,55,170,366,500,666
2026-12-13,11,13,16,27,56,179,373,554,664
2026-12-20,12,14,17,29,63,197,420,594,803
2026-12-27,13,15,19,32,70,215,456,641,851
2027-01-03,13,15,19,33,72,223,457,636,800
2027-01-10,13,16,20,33,75,230,463,603,752
2027-01-17,13,16,20,33,78,236,455,582,714
2027-01-24,13,16,21,35,82,233,451,575,734
2027-01-31,14,16,21,36,83,230,427,560,682
2027-02-07,14,16,21,36,83,221,413,535,637
2027-02-14,14,16,21,37,85,218,394,509,599
2027-02-21,14,16,21,37,85,207,372,481,559
2027-02-28,13,17,21,36,84,196,344,442,540
2027-03-07,13,16,21,36,84,186,323,415,502
2027-03-14,14,16,21,36,84,181,314,381,460
2027-03-21,14,16,20,37,85,172,288,370,422
2027-03-28,13,15,20,36,83,161,265,340,395
2027-04-04,13,15,20,35,79,154,253,317,362
2027-04-11,13,15,19,34,76,144,234,295,344
2027-04-18,12,15,19,34,75,138,225,275,319
2027-04-25,13,15,20,35,76,139,221,280,313
2027-05-02,13,16,20,37,77,140,223,276,322
2027-05-09,14,16,21,37,76,138,215,266,310
2027-05-16,13,15,20,36,72,127,203,244,295
2027-05-23,12,14,19,33,67,116,184,231,267
2027-05-30,11,14,18,32,62,107,167,208,242
2027-06-06,11,13,17,30,58,100,154,192,219
2027-06-13,11,12,16,28,54,94,143,174,198
2027-06-20,10,12,16,27,51,90,134,164,186
2027-06-27,10,12,16,27,50,86,128,157,177
2027-07-04,10,12,15,27,49,83,123,148,173
2027-07-11,10,11,15,26,47,81,120,144,165
2027-07-18,9,11,15,26,47,79,118,140,160
2027-07-25,10,11,15,26,46,76,113,136,153
2027-08-01,10,11,15,25,44,74,110,131,149
2027-08-08,10,11,15,25,43,72,107,127,144
2027-08-15,10,11,15,25,44,73,107,128,143
2027-08-22,10,12,15,26,45,75,107,129,146
2027-08-29,10,12,16,26,45,74,107,127,146
2027-09-05,10,12,15,26,44,72,105,123,142
2027-09-12,10,12,15,26,43,72,101,121,137
2027-09-19,10,12,16,26,42,70,99,119,134
2027-09-26,10,12,16,25,42,68,98,118,131
2027-10-03,10,12,16,25,42,68,98,118,131
