date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,0,0,2,3,4,7,9,12,15
2026-10-18,0,0,2,4,5,8,12,15,19
2026-10-25,0,0,3,4,6,10,14,18,21
2026-11-01,0,0,3,4,7,11,16,20,23
2026-11-08,0,0,3,5,7,12,18,22,27
2026-11-15,0,0,3,5,8,13,18,24,28
2026-11-22,0,0,3,5,8,13,19,23,28
2026-11-29,0,0,3,5,8,13,19,23,27
2026-12-06,0,0,3,5,8,13,18,23,26
2026-12-13,0,0,3,5,9,13,19,23,27
2026-12-20,0,0,3,5,9,13,19,23,26
2026-12-27,0,0,3,6,9,13,19,23,26
2027-01-03,0,0,3,6,9,13,19,22,25
2027-01-10,0,0,3,6,9,13,18,22,24
2027-01-17,0,0,3,5,8,13,17,21,24
2027-01-24,0,0,3,5,8,12,16,19,23
2027-01-31,0,0,3,5,8,11,16,19,21
2027-02-07,0,0,3,5,7,11,14,17,20
2027-02-14,0,0,3,4,6,9,13,15,19
2027-02-21,0,0,2,3,5,7,9,12,14
2027-02-28,0,0,2,3,4,6,8,9,11
2027-03-07,0,0,2,3,4,5,7,8,9
2027-03-14,0,0,2,3,4,5,7,8,9
2027-03-21,0,0,2,3,4,5,7,8,9
2027-03-28,0,0,2,2,4,5,6,7,9
2027-04-04,0,0,2,2,3,5,6,7,8
2027-04-11,0,0,2,2,3,5,6,7,8
2027-04-18,0,0,2,2,3,5,6,7,8
2027-04-25,0,0,1,2,3,4,6,7,8
2027-05-02,0,0,1,2,3,4,6,7,7
2027-05-09,0,0,1,2,3,4,5,6,7
2027-05-16,0,0,1,2,3,4,5,6,7
2027-05-23,0,0,1,2,3,4,5,6,7
2027-05-30,0,0,1,2,3,4,5,6,7
2027-06-06,0,0,1,2,3,4,5,6,6
2027-06-13,0,0,1,2,3,4,5,6,6
2027-06-20,0,0,1,2,3,4,5,6,6
2027-06-27,0,0,1,2,3,4,5,5,6
2027-07-04,0,0,1,2,3,4,5,6,6
2027-07-11,0,0,1,2,3,4,5,6,7
2027-07-18,0,0,1,2,3,4,5,6,7
2027-07-25,0,0,1,2,3,4,6,7,8
2027-08-01,0,0,2,2,3,5,6,7,8
2027-08-08,0,0,2,2,3,5,6,7,8
2027-08-15,0,0,2,2,3,5,6,7,8
2027-08-22,0,0,1,2,3,5,6,7,8
2027-08-29,0,0,1,2,3,4,6,7,8
2027-09-05,0,0,1,2,3,4,5,6,7
2027-09-12,0,0,1,2,3,4,5,6,7
2027-09-19,0,0,1,2,3,4,5,6,7
2027-09-26,0,0,1,2,3,4,5,6,6
2027-10-03,0,0,1,2,3,4,5,6,6
