date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,4,5,6,10,16,28,51,76,95
2026-10-18,4,5,7,11,20,39,79,119,152
2026-10-25,5,6,7,12,25,53,111,168,226
2026-11-01,5,6,8,13,29,65,138,197,266
2026-11-08,5,6,8,14,31,75,150,191,286
2026-11-15,5,6,8,15,34,82,144,199,248
2026-11-22,6,7,9,17,38,88,145,200,239
2026-11-29,6,7,10,18,41,86,148,181,223
2026-12-06,6,7,10,18,40,80,131,165,195
2026-12-13,6,7,10,18,39,72,119,149,169
2026-12-20,6,7,10,18,40,71,113,140,157
2026-12-27,6,8,11,19,40,69,107,131,149
2027-01-03,6,8,11,19,38,65,98,120,140
2027-01-10,6,8,11,19,35,59,91,108,127
2027-01-17,6,8,11,19,34,56,84,101,117
2027-01-24,7,8,11,20,33,55,80,98,109
2027-01-31,7,8,12,19,32,52,75,91,104
2027-02-07,7,8,11,19,31,48,70,85,99
2027-02-14,7,8,11,18,29,45,65,79,92
2027-02-21,7,9,11,17,28,42,62,74,83
2027-02-28,7,9,11,16,27,40,59,67,76
2027-03-07,6,8,10,15,24,37,53,62,69
2027-03-14,6,7,9,14,21,32,46,53,60
2027-03-21,5,6,8,12,18,28,40,47,54
2027-03-28,5,6,7,10,16,24,34,40,47
2027-04-04,4,5,7,10,15,22,31,36,42
2027-04-11,4,5,6,9,14,21,29,35,41
2027-04-18,4,5,6,9,14,20,28,34,40
2027-04-25,4,5,6,9,14,20,27,33,38
2027-05-02,4,5,6,8,13,19,26,32,37
2027-05-09,4,5,6,8,13,19,26,32,36
2027-05-16,4,5,6,8,13,19,26,32,37
2027-05-23,5,5,6,9,14,20,28,33,39
2027-05-30,5,5,7,9,14,21,28,36,41
2027-06-06,5,6,7,9,14,21,29,35,41
2027-06-13,5,6,7,9,14,21,28,34,40
2027-06-20,5,5,7,9,14,20,28,34,39
2027-06-27,5,5,6,9,13,20,27,33,37
2027-07-04,4,5,6,9,13,19,27,32,37
2027-07-11,4,5,6,9,13,19,26,32,36
2027-07-18,4,5,6,9,13,19,25,31,35
2027-07-25,4,5,6,8,12,18,25,30,35
2027-08-01,4,5,6,8,12,17,24,29,33
2027-08-08,4,4,5,8,12,17,23,28,33
2027-08-15,4,4,5,7,11,16,23,27,32
2027-08-22,4,4,5,7,11,16,22,27,31
2027-08-29,4,4,5,7,11,16,22,27,30
2027-09-05,4,4,5,7,10,15,21,25,30
2027-09-12,3,4,5,7,10,15,20,24,27
2027-09-19,3,4,4,6,10,14,19,23,26
2027-09-26,3,4,4,6,9,13,18,22,25
2027-10-03,3,4,4,6,9,13,18,22,25
