date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2026-10-11,3,3,4,5,7,10,14,17,19
2026-10-18,3,3,4,6,8,11,15,18,21
2026-10-25,3,4,4,6,8,11,16,19,22
2026-11-01,3,3,4,6,8,11,16,19,23
2026-11-08,3,4,4,6,8,12,16,20,24
2026-11-15,3,4,4,6,8,12,17,20,25
2026-11-22,3,4,4,6,8,12,18,20,24
2026-11-29,3,4,4,6,8,13,18,21,25
2026-12-06,3,4,4,6,8,13,19,22,27
2026-12-13,3,4,4,6,9,14,20,24,28
2026-12-20,3,4,4,6,9,14,21,25,29
2026-12-27,3,4,5,6,9,14,21,25,29
2027-01-03,3,4,4,6,9,15,22,25,29
2027-01-10,3,4,5,6,9,15,22,26,32
2027-01-17,3,4,5,6,9,15,22,27,32
2027-01-24,3,4,5,6,9,15,22,27,32
2027-01-31,3,4,5,6,10,16,24,28,35
2027-02-07,3,4,5,7,10,16,25,30,38
2027-02-14,3,4,5,7,11,17,27,32,40
2027-02-21,4,4,5,7,11,19,28,34,41
2027-02-28,4,5,6,8,12,21,30,37,46
2027-03-07,4,5,6,9,13,22,33,41,47
2027-03-14,4,5,6,9,13,23,33,41,47
2027-03-21,4,5,6,9,13,22,33,40,46
2027-03-28,4,5,6,8,13,21,31,38,46
2027-04-04,4,5,5,8,12,20,29,35,43
2027-04-11,3,4,5,7,11,18,27,33,39
2027-04-18,3,4,5,7,10,17,26,31,36
2027-04-25,3,4,5,7,10,17,25,30,34
2027-05-02,3,4,5,7,10,17,26,30,34
2027-05-09,3,4,5,7,10,17,26,30,34
2027-05-16,3,4,5,7,10,17,26,31,34
2027-05-23,3,4,5,7,10,17,26,31,35
2027-05-30,3,4,5,7,10,17,26,31,35
2027-06-06,3,4,5,7,10,17,26,31,35
2027-06-13,3,4,5,7,11,18,26,31,36
2027-06-20,3,4,5,7,11,18,26,31,36
2027-06-27,3,4,5,7,11,18,26,31,36
2027-07-04,3,4,5,7,11,18,26,31,36
2027-07-11,3,4,5,7,11,18,26,31,36
2027-07-18,3,4,5,7,11,18,26,31,37
2027-07-25,3,4,5,7,11,18,26,32,36
2027-08-01,3,4,5,7,11,18,26,32,36
2027-08-08,3,4,5,7,11,18,26,31,37
2027-08-15,4,4,5,7,11,18,27,32,38
2027-08-22,4,5,5,8,13,20,30,37,42
2027-08-29,4,5,6,9,14,24,35,43,51
2027-09-05,5,5,6,9,15,25,38,47,57
2027-09-12,5,5,6,9,15,25,39,47,55
2027-09-19,4,5,6,9,14,23,36,45,53
2027-09-26,4,5,6,9,14,22,34,42,48
2027-10-03,4,5,6,9,14,22,34,42,48
